date | value
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | -1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648

2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | -1

2001-42-42
| 25
2012-01/11 | 1
20-01-11 | 1
2012-01-1 | 1
2012-1-11 | 1
20a2-01-11 | 1
2012-0a-11 | 1
2012-01-1a | 1
201a-01-11 | 1
2012-a1-11 | 1
2012-01-a1 | 1
2a12-01-a1 | 1
2012-01-11| 1
2012-01-11 |1

2013-03-03 | 9
2014-01-02 | 0.25
2012-01-11 | 1
2012-01-11 | 2147483647
2012-01-11 | 1000
2012-01-11 | 0.63
2012-01-11 | +0.63
2012-01-11 | -0.63
2015-01-11 | -0
2015-01-11 | +0
2015-01-11 |         
2012-01-11 |    - 5           
201 2-01-11 |    -5
2012-01-11      |    -5
2012-01-11      |    0.45
2012-01-11 | 999.905
5024+45-86 | 5

2012-01-31 | 999.905
2012-01-32 | 22
2000-12-31 | 31.01
2012-12-32 | 0.6
2012-01-11 | 6.1
2009-01-06 | 36

2020-02-29 | 2
2021-02-29 | 2

2015-02-29 | 36
2025-02-15 | 0.3
2022-03-30 | 1
